truckId,simulationId,tiempo
1489WHW,b3f5280d-c680-4542-abe0-1e2a1a71fe8a,"[328380.0, 1244490.0, 1122900.0, 2127030.0]"
1489WHW,d17da1f8-a5a6-4614-a067-6feb96b2b611,"[2326440.0, 2270370.0]"
1489WHW,fccbc861-3e31-4e35-b4f3-b0f97e77a2c2,"[1146180.0, 1212450.0]"
1669HSZ,2291b8d8-db1c-4320-812f-2a5c06a5291b,"[845340.0, 390780.0, 1123380.0, 1116330.0, 356490.0, 1764120.0, 623220.0, 713190.0, 274410.0, 221220.0]"
1669HSZ,5a1f0e34-a19a-43ef-812c-050da6ac6d27,"[4489020.0, 297330.0, 94140.0, 4353300.0]"
1669HSZ,8c7a2f21-ae93-4afc-a62c-e49969b0bbad,"[4441710.0, 4364220.0]"
1669HSZ,a2bfd344-3b14-462a-82e7-d42aca54a650,"[3418560.0, 3438420.0]"
1669HSZ,b40b6dec-826e-4891-b852-fb32f8802ada,"[4352850.0, 2672040.0, 638190.0, 1395630.0]"
2423VRT,0e431f85-a4c6-4109-ad1b-98f58392816e,"[2626920.0, 2593680.0]"
2423VRT,3639f918-671b-4d85-a9d9-a4740ab1d1a0,"[2142000.0, 999210.0, 1435290.0]"
2423VRT,5bc23801-c7da-43be-80d1-70bf84a82d17,"[1513140.0, 1130160.0, 1595850.0, 127980.0, 565080.0]"
2423VRT,76cb2988-3a44-44bf-8cd6-91f93dc68270,"[866280.0, 347580.0, 1906890.0, 1764000.0, 634320.0]"
2423VRT,87cbff75-1caa-4068-a786-21468b9488b8,"[605100.0, 1579890.0, 1169520.0, 529410.0, 1222560.0]"
2423VRT,a2bfd344-3b14-462a-82e7-d42aca54a650,"[606840.0, 679710.0, 2202210.0, 2104410.0, 225780.0, 83940.0, 595560.0]"
2423VRT,aeec8199-893b-4784-8af9-31ef0f2b9857,"[1503870.0, 1317300.0, 589500.0, 876900.0, 981720.0]"
2423VRT,b3f5280d-c680-4542-abe0-1e2a1a71fe8a,"[1388940.0, 500820.0, 1143300.0, 412650.0, 1451760.0]"
2423VRT,bafe7676-7c4f-45a4-9c0d-c34153a00076,"[2618790.0, 2585250.0]"
2423VRT,cb6a8d9e-c533-41bd-972d-871d80028307,"[532350.0, 567450.0, 976860.0, 629100.0, 2231730.0]"
2423VRT,d17da1f8-a5a6-4614-a067-6feb96b2b611,"[333210.0, 2087430.0, 2268270.0]"
2423VRT,da12ce1a-9c67-4ff9-923e-8dac24549fe3,"[3222480.0, 2943810.0, 366750.0]"
2423VRT,dbdddebe-c15c-4032-a4f3-d4e3e2087b5c,"[2723190.0, 2796000.0]"
2423VRT,f007019f-866d-48be-a0cb-bd96328ee43b,"[1743450.0, 181110.0, 678120.0, 1323690.0]"
